Contract Identifier,State Office Code,Contract Term,Acres Current,Mbf Current,Ccf Current,Value Sold
AKA02-TS-2012.0001,AK,36.0,87.0,321.5,524.0,9415.0
CA36-TS-2011.0004,CA,24.0,77.0,292.0,467.2,16027.9
CA36-TS-2011.0005,CA,24.0,62.0,508.0,813.0,50597.5
CAN02-TS-2015.0113,CA,12.0,40.0,49.8,81.2,3000.0
CAN02-TS-2015.1021,CA,18.0,120.0,1568.0,2555.8,121812.0
CAN05-TS-2014.0001,CA,36.0,80.0,470.0,766.1,51240.8
CAN06-TS-2014.0003,CA,24.0,18.0,68.0,110.8,17746.7
CAN06-TS-2014.0009,CA,24.0,114.0,1680.0,2738.4,271513.2
CAN06-TS-2014.0011,CA,24.0,3.0,15.0,24.5,2534.0
CAN06-TS-2015.0002,CA,24.0,11.0,15.0,24.5,1647.6
CAN06-TS-2015.0004,CA,24.0,20.0,15.8,25.8,6131.1
CAN06-TS-2015.0005,CA,24.0,2.0,3.2,5.2,1478.2
CAN06-TS-2016.0001,CA,24.0,2.0,10.3,16.8,5411.7
CAN06-TS-2016.0002,CA,12.0,15.0,26.0,42.4,10472.5
CAN06-TS-2017.0001,CA,12.0,64.0,553.0,901.4,41549.82
CAN06-TS-2019.0002,CA,12.0,122.0,2189.9,3569.5,125745.52
CO12-TS-2011.0001,CO,24.0,110.0,881.0,1850.0,4405.0
CO12-TS-2011.0003,CO,36.0,215.0,2076.0,4325.8,10140.0
COF02-TS-2013.0001,CO,36.0,145.0,285.3,465.0,6733.35
COF02-TS-2013.0002,CO,24.0,56.0,127.6,208.0,3207.0
COF02-TS-2014.0001,CO,24.0,48.0,533.0,868.8,23119.02
COF02-TS-2014.0005,CO,24.0,54.0,49.0,79.9,3144.0
COF02-TS-2014.0006,CO,24.0,42.0,128.0,208.0,2392.0
COF02-TS-2014.0010,CO,24.0,24.0,166.0,270.6,7014.0
COF02-TS-2015.0001,CO,36.0,79.0,673.0,1097.0,42166.5
COF02-TS-2015.0002,CO,24.0,83.0,230.0,375.0,5865.0
COF02-TS-2015.0003,CO,24.0,113.0,147.0,239.6,4140.75
COF02-TS-2015.0004,CO,24.0,14.0,30.0,49.0,1050.0
COF02-TS-2015.0006,CO,36.0,179.0,1008.0,1643.0,29084.16
COF02-TS-2016.0001,CO,24.0,29.0,119.0,194.0,2104.0
COF02-TS-2016.0002,CO,36.0,87.0,1030.0,1678.9,46493.0
COF02-TS-2017.0001,CO,36.0,131.0,1528.0,2490.6,54846.8
COF02-TS-2019.0001,CO,36.0,190.0,1496.0,2438.5,19970.05
COF07-TS-2017.0001,CO,36.0,130.0,1632.1,3300.0,19738.14
CON02-TS-2012.0002,CO,36.0,97.0,597.0,973.1,2985.0
CON02-TS-2012.0003,CO,24.0,65.0,513.0,836.2,4001.4
CON02-TS-2012.0004,CO,24.0,48.0,483.8,1016.0,2306.32
CON02-TS-2013.0002,CO,36.0,151.0,665.0,1084.0,3712.44
CON02-TS-2013.0003,CO,24.0,86.0,297.0,484.1,1600.0
CON02-TS-2013.0005,CO,24.0,172.0,2312.0,3769.0,19871.69
CON02-TS-2014.0001,CO,12.0,9.0,77.0,125.5,582.89
CON02-TS-2014.0003,CO,24.0,20.0,168.0,273.8,2184.0
CON02-TS-2014.0005,CO,36.0,405.0,3416.0,5568.1,77715.1
CON02-TS-2015.0001,CO,24.0,48.0,205.0,334.2,2460.0
CON02-TS-2015.0003,CO,36.0,113.0,890.0,1450.7,17933.5
CON02-TS-2015.0004,CO,36.0,303.0,1503.0,2449.9,11317.59
CON02-TS-2016.0002,CO,36.0,117.0,373.0,608.0,1872.46
CON02-TS-2016.0003,CO,36.0,44.0,398.0,648.7,2015.34
CON02-TS-2017.0001,CO,36.0,310.0,1507.9,2457.9,7539.5
